;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
4177;6.4;0.25;0.33;1.7;0.037;35.0;113.0;0.99164;3.23;0.66;10.6;6
4891;5.7;0.21;0.32;0.9;0.038;38.0;121.0;0.99074;3.24;0.46;10.6;6
643;6.4;0.24;0.28;11.5;0.05;34.0;163.0;0.9969;3.31;0.45;9.5;5
1979;7.5;0.38;0.5;12.8;0.042;57.0;184.0;0.9984;3.09;0.46;9.0;6
670;7.8;0.42;0.26;9.2;0.058;34.0;199.0;0.9972;3.14;0.55;9.3;6
4896;5.5;0.29;0.3;1.1;0.022;20.0;110.0;0.98869;3.34;0.38;12.8;7
4646;5.9;0.18;0.28;1.0;0.037;24.0;88.0;0.99094;3.29;0.55;10.65;7
816;8.4;0.18;0.42;5.1;0.036;7.0;77.0;0.9939;3.16;0.52;11.7;5
295;6.3;0.33;0.27;1.2;0.046;34.0;175.0;0.9934;3.37;0.54;9.4;6
3499;6.1;0.33;0.3;3.0;0.036;30.0;124.0;0.98922;3.31;0.4;13.1;7
2838;6.9;0.15;0.29;2.3;0.033;14.0;82.0;0.99132;3.1;0.58;11.2;7
73;8.6;0.23;0.46;1.0;0.054;9.0;72.0;0.9941;2.95;0.49;9.1;6
2921;6.7;0.39;0.31;2.7;0.054;27.0;202.0;0.9948;3.46;0.57;10.5;6
4615;6.1;0.44;0.28;4.25;0.032;43.0;132.0;0.9916;3.26;0.47;11.2666666667;7
3353;6.5;0.43;0.28;11.25;0.032;31.0;87.0;0.9922;3.02;0.38;12.4;6
950;7.6;0.345;0.26;1.9;0.043;15.0;134.0;0.9936;3.08;0.38;9.5;5
4875;7.4;0.22;0.26;1.2;0.035;18.0;97.0;0.99245;3.12;0.41;9.7;6
2200;6.4;0.24;0.23;7.3;0.069;31.0;157.0;0.9962;3.25;0.53;9.1;5
2923;6.9;0.22;0.31;6.3;0.029;41.0;131.0;0.99326;3.08;0.49;10.8;6
3656;7.1;0.28;0.28;8.5;0.03;25.0;191.0;0.99338;3.16;0.46;12.2;7
3430;7.1;0.17;0.4;14.55;0.047;47.0;156.0;0.99945;3.34;0.78;9.1;6
1169;7.5;0.14;0.34;1.3;0.055;50.0;153.0;0.9945;3.29;0.8;9.6;6
3700;7.0;0.3;0.27;1.5;0.076;24.0;145.0;0.99344;3.1;0.52;10.1;5
4134;6.8;0.27;0.28;7.8;0.038;26.0;89.0;0.9915;3.24;0.34;12.5;6
1686;7.4;0.26;0.37;9.4;0.047;42.0;147.0;0.9982;3.46;0.72;10.0;5
1852;6.4;0.18;0.31;1.6;0.049;36.0;127.0;0.9934;3.6;0.67;10.4;7
1296;7.5;0.38;0.33;5.0;0.045;30.0;131.0;0.9942;3.32;0.44;10.9;6
2152;7.0;0.22;0.33;2.1;0.052;15.0;76.0;0.993;3.2;0.41;10.6;6
955;7.6;0.345;0.26;1.9;0.043;15.0;134.0;0.9936;3.08;0.38;9.5;5
1735;8.0;0.32;0.36;4.6;0.042;56.0;178.0;0.9928;3.29;0.47;12.0;6
2784;7.1;0.2;0.31;7.4;0.053;32.0;211.0;0.99587;3.31;0.59;10.4;6
2811;7.4;0.3;0.32;1.7;0.03;23.0;128.0;0.9929;3.17;0.66;10.9;5
373;7.2;0.27;0.27;2.4;0.048;30.0;149.0;0.9936;3.1;0.51;9.2;6
2881;7.2;0.21;0.28;2.7;0.033;38.0;94.0;0.99075;2.99;0.43;11.8;7
235;7.2;0.23;0.38;14.3;0.058;55.0;194.0;0.9979;3.09;0.44;9.0;6
3898;8.5;0.23;0.34;1.3;0.035;54.0;110.0;0.99176;3.07;0.55;11.0;7
4858;6.4;0.35;0.51;7.8;0.055;53.0;177.0;0.99502;3.12;0.45;9.6;5
2461;8.2;0.26;0.33;2.6;0.053;11.0;71.0;0.99402;2.89;0.49;9.5;5
4012;6.4;0.24;0.49;5.8;0.053;25.0;120.0;0.9942;3.01;0.98;10.5;6
229;7.1;0.24;0.41;17.8;0.046;39.0;145.0;0.9998;3.32;0.39;8.7;5
4779;6.0;0.59;0.0;0.8;0.037;30.0;95.0;0.99032;3.1;0.4;10.9;4
3510;7.0;0.22;0.24;11.0;0.041;75.0;167.0;0.99508;2.98;0.56;10.5;6
3245;7.6;0.27;0.29;2.5;0.059;37.0;115.0;0.99328;3.09;0.37;9.8;5
1170;7.7;0.25;0.43;4.5;0.062;20.0;115.0;0.9966;3.38;0.5;9.9;6
953;8.2;0.23;0.37;1.3;0.042;39.0;117.0;0.9928;2.99;0.36;10.0;5
4545;6.3;0.25;0.53;1.8;0.021;41.0;101.0;0.989315;3.19;0.31;13.0;6
4552;6.4;0.55;0.26;9.6;0.027;20.0;104.0;0.9924;3.22;0.73;13.1;6
4748;6.1;0.34;0.24;18.35;0.05;33.0;184.0;0.99943;3.12;0.61;9.3;5
1139;9.0;0.31;0.49;6.9;0.034;26.0;91.0;0.9937;2.99;0.34;11.5;5
3881;6.0;0.28;0.24;17.8;0.047;42.0;111.0;0.99896;3.1;0.45;8.9;6
582;7.3;0.3;0.22;6.4;0.056;44.0;168.0;0.9947;3.13;0.35;10.1;6
880;7.1;0.21;0.32;2.2;0.037;28.0;141.0;0.993;3.2;0.57;10.0;7
3076;6.3;0.28;0.3;3.1;0.039;24.0;115.0;0.9942;3.05;0.43;8.6;5
1331;6.8;0.15;0.32;8.8;0.058;24.0;110.0;0.9972;3.4;0.4;8.8;6
964;5.9;0.26;0.21;12.5;0.034;36.0;152.0;0.9972;3.28;0.43;9.5;6
3241;5.8;0.3;0.42;1.1;0.036;19.0;113.0;0.98871;3.1;0.46;12.6;7
1609;8.1;0.2;0.49;11.8;0.048;46.0;212.0;0.9968;3.09;0.46;10.0;7
1983;7.6;0.2;0.3;14.2;0.056;53.0;212.5;0.999;3.14;0.46;8.9;8
516;6.8;0.18;0.37;1.6;0.055;47.0;154.0;0.9934;3.08;0.45;9.1;5
4069;6.2;0.24;0.28;12.2;0.049;54.0;133.0;0.9952;3.19;0.37;10.7;6
1187;6.6;0.21;0.38;2.2;0.026;40.0;104.0;0.9914;3.25;0.4;11.1;8
2770;6.4;0.44;0.44;14.4;0.048;29.0;228.0;0.99955;3.26;0.54;8.8;7
2704;6.6;0.26;0.38;6.5;0.17;68.0;201.0;0.9956;3.19;0.38;9.4;6
3839;6.2;0.31;0.23;3.3;0.052;34.0;113.0;0.99429;3.16;0.48;8.4;5
4348;7.6;0.31;0.52;13.2;0.042;61.0;148.0;0.99839;2.98;0.47;9.1;6
1322;5.1;0.31;0.3;0.9;0.037;28.0;152.0;0.992;3.54;0.56;10.1;6
3305;6.3;0.19;0.29;2.0;0.022;33.0;96.0;0.98902;3.04;0.54;12.8;7
2298;6.3;0.41;0.18;3.5;0.027;23.0;109.0;0.99018;3.34;0.54;12.8;8
43;6.6;0.24;0.27;1.4;0.057;33.0;152.0;0.9934;3.22;0.56;9.5;6
1147;8.9;0.34;0.32;1.3;0.041;12.0;188.0;0.9953;3.17;0.49;9.5;5
3471;6.8;0.19;0.4;9.85;0.055;41.0;103.0;0.99532;2.98;0.56;10.5;6
1652;8.2;0.29;0.49;1.0;0.044;29.0;118.0;0.9928;3.24;0.36;10.9;4
24;6.6;0.27;0.41;1.3;0.052;16.0;142.0;0.9951;3.42;0.47;10.0;6
4292;6.9;0.22;0.32;5.8;0.041;20.0;119.0;0.99296;3.17;0.55;11.2;6
1702;6.5;0.27;0.19;4.2;0.046;6.0;114.0;0.9955;3.25;0.35;8.6;4
713;6.4;0.31;0.39;7.5;0.04;57.0;213.0;0.99475;3.32;0.43;10.0;5
3988;6.1;0.2;0.17;1.6;0.048;46.0;129.0;0.991;3.3;0.43;11.4;6
565;7.8;0.22;0.38;10.3;0.059;28.0;99.0;0.9967;3.12;0.47;10.0;6
2672;7.0;0.15;0.3;13.3;0.049;46.0;120.0;0.99704;3.2;0.36;9.5;7
3021;6.8;0.27;0.29;4.6;0.046;6.0;88.0;0.99458;3.34;0.48;10.6;4
2915;6.9;0.14;0.38;1.0;0.041;22.0;81.0;0.99043;3.03;0.54;11.4;6
3070;6.8;0.28;0.43;7.6;0.03;30.0;110.0;0.99164;3.08;0.59;12.5;8
1377;6.9;0.28;0.41;1.7;0.05;10.0;136.0;0.993;3.16;0.71;11.4;6
4268;5.7;0.22;0.29;3.5;0.04;27.0;146.0;0.98999;3.17;0.36;12.1;6
1615;7.5;0.19;0.49;1.6;0.047;42.0;140.0;0.9932;3.4;0.47;10.7;6
246;6.8;0.21;0.27;2.1;0.03;26.0;139.0;0.99;3.16;0.61;12.6;7
1112;6.5;0.22;0.34;12.0;0.053;55.0;177.0;0.9983;3.52;0.44;9.9;6
452;5.9;0.46;0.14;2.7;0.042;27.0;160.0;0.9931;3.46;0.51;10.6;7
1476;7.1;0.85;0.49;8.7;0.028;40.0;184.0;0.9962;3.22;0.36;10.7;5
4181;6.6;0.25;0.32;5.6;0.039;15.0;68.0;0.99163;2.96;0.52;11.1;6
4408;5.7;0.29;0.16;7.9;0.044;48.0;197.0;0.99512;3.21;0.36;9.4;5
1792;7.8;0.22;0.36;1.4;0.056;21.0;153.0;0.993;3.2;0.53;10.4;6
2471;5.6;0.35;0.4;6.3;0.022;23.0;174.0;0.9922;3.54;0.5;11.6;7
4258;5.8;0.3;0.23;1.5;0.034;37.0;121.0;0.98871;2.96;0.34;12.1;6
3272;7.5;0.22;0.32;2.4;0.045;29.0;100.0;0.99135;3.08;0.6;11.3;7
3911;7.2;0.23;0.82;1.3;0.149;70.0;109.0;0.99304;2.93;0.42;9.2;6
4823;6.5;0.28;0.34;4.6;0.054;22.0;130.0;0.99193;3.2;0.46;12.0;7
2481;6.4;0.37;0.37;4.85;0.041;39.5;216.5;0.99432;3.1;0.5;9.8;6
252;6.9;0.4;0.56;11.2;0.043;40.0;142.0;0.9975;3.14;0.46;8.7;5
1135;6.7;0.25;0.34;12.85;0.048;30.0;161.0;0.9986;3.44;0.47;9.5;6
4113;6.1;0.17;0.29;1.1;0.041;32.0;92.0;0.99036;3.26;0.57;11.2;6
1685;7.2;0.25;0.28;14.4;0.055;55.0;205.0;0.9986;3.12;0.38;9.0;7
4142;5.9;0.27;0.27;9.0;0.051;43.0;136.0;0.9941;3.25;0.53;10.7;6
1942;8.3;0.36;0.57;15.0;0.052;35.0;256.0;1.0001;2.93;0.64;8.6;5
4565;5.8;0.28;0.66;9.1;0.039;26.0;159.0;0.9965;3.66;0.55;10.8;5
3540;7.8;0.28;0.25;3.4;0.024;27.0;99.0;0.98959;2.98;0.37;13.0;6
757;6.8;0.22;0.37;15.2;0.051;68.0;178.0;0.99935;3.4;0.85;9.3;6
2727;6.5;0.17;0.31;1.5;0.041;34.0;121.0;0.99092;3.06;0.46;10.5;6
160;6.1;0.32;0.24;1.5;0.036;38.0;124.0;0.9898;3.29;0.42;12.4;7
4314;6.3;0.41;0.22;7.3;0.035;23.0;117.0;0.99172;3.2;0.39;11.94;7
2308;9.4;0.28;0.3;1.6;0.045;36.0;139.0;0.99534;3.11;0.49;9.3;5
3420;7.6;0.28;0.49;20.15;0.06;30.0;145.0;1.00196;3.01;0.44;8.5;5
3916;7.1;0.37;0.3;6.2;0.04;49.0;139.0;0.99021;3.17;0.27;13.6;6
356;7.3;0.22;0.37;14.3;0.063;48.0;191.0;0.9978;2.89;0.38;9.0;6
1746;7.5;0.22;0.29;4.8;0.05;33.0;87.0;0.994;3.14;0.42;9.9;5
3795;6.5;0.25;0.27;17.4;0.064;29.0;140.0;0.99776;3.2;0.49;10.1;6
4644;6.8;0.29;0.22;3.4;0.035;40.0;122.0;0.99024;3.09;0.47;12.3;6
3116;6.7;0.21;0.37;2.5;0.034;35.0;89.0;0.9913;3.25;0.5;11.0;7
4822;6.8;0.23;0.48;1.5;0.036;35.0;165.0;0.99162;3.18;0.45;11.3;6
4306;6.1;0.24;0.27;11.5;0.05;51.0;133.0;0.99476;3.22;0.37;10.8;6
1886;7.0;0.53;0.02;1.0;0.036;39.0;107.0;0.993;3.2;0.32;9.0;5
2402;8.0;0.26;0.28;8.2;0.038;72.0;202.0;0.99566;3.12;0.56;10.0;6
4554;6.0;0.23;0.34;1.3;0.025;23.0;111.0;0.98961;3.36;0.37;12.7;6
217;5.8;0.26;0.24;9.2;0.044;55.0;152.0;0.9961;3.31;0.38;9.4;5
4483;5.8;0.28;0.18;1.2;0.058;7.0;108.0;0.99288;3.23;0.58;9.55;4
1103;7.9;0.29;0.39;6.7;0.036;6.0;117.0;0.9938;3.12;0.42;10.7;5
2817;6.7;0.19;0.39;1.0;0.032;14.0;71.0;0.98912;3.31;0.38;13.0;7
784;7.2;0.23;0.19;13.7;0.052;47.0;197.0;0.99865;3.12;0.53;9.0;5
412;7.2;0.19;0.39;1.2;0.036;32.0;85.0;0.9918;3.16;0.5;10.5;5
4614;7.1;0.33;0.18;6.3;0.094;27.0;166.0;0.99474;2.9;0.49;9.5;5
4878;6.2;0.53;0.02;0.9;0.035;6.0;81.0;0.99234;3.24;0.35;9.5;4
1032;7.1;0.3;0.36;6.8;0.055;44.5;234.0;0.9972;3.49;0.64;10.2;6
3133;6.6;0.25;0.35;2.9;0.034;38.0;121.0;0.99008;3.19;0.4;12.8;6
1167;7.4;0.23;0.43;1.4;0.044;22.0;113.0;0.9938;3.22;0.62;10.6;6
3969;6.4;0.17;0.3;2.8;0.034;33.0;125.0;0.99152;3.03;0.49;10.4;6
677;5.8;0.32;0.38;4.75;0.033;23.0;94.0;0.991;3.42;0.42;11.8;7
639;5.8;0.335;0.14;5.8;0.046;49.0;197.0;0.9937;3.3;0.71;10.3;5
4831;5.8;0.38;0.26;1.1;0.058;20.0;140.0;0.99271;3.27;0.43;9.7;6
2463;7.0;0.26;0.26;10.8;0.039;37.0;184.0;0.99787;3.47;0.58;10.3;7
3460;6.8;0.19;0.4;9.85;0.055;41.0;103.0;0.99532;2.98;0.56;10.5;6
851;8.2;0.38;0.49;13.6;0.042;58.0;166.0;0.99855;3.1;0.54;9.4;5
2056;6.8;0.21;0.27;18.15;0.042;41.0;146.0;1.0001;3.3;0.36;8.7;5
2914;6.9;0.14;0.38;1.0;0.041;22.0;81.0;0.99043;3.03;0.54;11.4;6
98;9.8;0.36;0.46;10.5;0.038;4.0;83.0;0.9956;2.89;0.3;10.1;4
3008;5.0;0.3;0.33;3.7;0.03;54.0;173.0;0.9887;3.36;0.3;13.0;7
4311;7.1;0.23;0.28;1.9;0.046;33.0;103.0;0.98997;3.12;0.31;12.0;5
1;6.3;0.3;0.34;1.6;0.049;14.0;132.0;0.994;3.3;0.49;9.5;6
2323;7.6;0.2;0.34;1.8;0.041;42.0;148.0;0.99335;3.35;0.66;11.1;6
2854;6.4;0.21;0.28;5.9;0.047;29.0;101.0;0.99278;3.15;0.4;11.0;6
3694;7.2;0.23;0.25;18.8;0.085;19.0;111.0;1.00044;3.1;0.51;8.7;5
2058;7.3;0.29;0.37;8.3;0.044;45.0;227.0;0.9966;3.12;0.47;9.0;5
4491;6.1;0.28;0.23;4.2;0.038;13.0;95.0;0.98898;2.97;0.7;13.1;6
2077;7.0;0.22;0.39;2.1;0.055;39.0;198.0;0.9951;3.52;0.54;10.2;6
1182;7.4;0.22;0.33;2.0;0.045;31.0;101.0;0.9931;3.42;0.55;11.4;5
2217;8.1;0.25;0.38;3.8;0.051;18.0;129.0;0.9928;3.21;0.38;11.5;6
1909;7.6;0.13;0.34;9.3;0.062;40.0;126.0;0.9966;3.21;0.39;9.6;5
4447;6.6;0.38;0.29;2.9;0.035;15.0;101.0;0.98916;3.04;0.37;12.5;6
874;7.7;0.15;0.29;1.3;0.029;10.0;64.0;0.9932;3.35;0.39;10.1;5
325;7.5;0.27;0.31;5.8;0.057;131.0;313.0;0.9946;3.18;0.59;10.5;5
1156;7.8;0.3;0.29;16.85;0.054;23.0;135.0;0.9998;3.16;0.38;9.0;6
303;6.0;0.29;0.21;1.3;0.055;42.0;168.0;0.9914;3.32;0.43;11.1;6
4138;6.6;0.23;0.32;1.5;0.041;8.0;72.0;0.98949;3.22;0.39;12.7;6
4785;6.9;0.25;0.29;2.4;0.038;28.0;76.0;0.99088;3.01;0.36;11.7;7
1722;7.5;0.4;1.0;19.5;0.041;33.0;148.0;0.9977;3.24;0.38;12.0;6
3994;6.7;0.28;0.34;8.9;0.048;32.0;111.0;0.99455;3.25;0.54;11.0;7
3;7.2;0.23;0.32;8.5;0.058;47.0;186.0;0.9956;3.19;0.4;9.9;6
3370;6.0;0.29;0.25;1.4;0.033;30.0;114.0;0.98794;3.08;0.43;13.2;6
4037;7.3;0.34;0.22;1.4;0.044;43.0;176.0;0.99286;3.14;0.46;9.9;5
2167;7.4;0.19;0.3;12.8;0.053;48.5;229.0;0.9986;3.14;0.49;9.1;7
4443;7.2;0.47;0.16;5.9;0.048;14.0;125.0;0.99428;3.09;0.49;9.8;5
3263;6.5;0.26;0.31;3.6;0.03;36.0;92.0;0.99026;3.22;0.62;12.6;8
3309;6.7;0.46;0.27;5.2;0.039;35.0;96.0;0.99129;3.16;0.44;12.4;7
2947;5.1;0.29;0.28;8.3;0.026;27.0;107.0;0.99308;3.36;0.37;11.0;6
1275;6.2;0.22;0.27;1.5;0.064;20.0;132.0;0.9938;3.22;0.46;9.2;6
4006;5.4;0.15;0.32;2.5;0.037;10.0;51.0;0.98878;3.04;0.58;12.6;6
3069;7.0;0.53;0.43;6.1;0.029;6.0;76.0;0.99118;3.08;0.5;12.5;8
2633;7.2;0.24;0.27;11.4;0.034;40.0;174.0;0.99773;3.2;0.44;9.0;5
2689;7.6;0.18;0.28;7.1;0.041;29.0;110.0;0.99652;3.2;0.42;9.2;6
967;6.8;0.22;0.35;17.5;0.039;38.0;153.0;0.9994;3.24;0.42;9.0;6
4205;6.7;0.41;0.27;2.6;0.033;25.0;85.0;0.99086;3.05;0.34;11.7;6
4157;7.4;0.16;0.3;13.7;0.056;33.0;168.0;0.99825;2.9;0.44;8.7;7
2368;7.4;0.34;0.3;14.9;0.037;70.0;169.0;0.99698;3.25;0.37;10.4;6
369;7.1;0.39;0.35;12.5;0.044;26.0;72.0;0.9941;3.17;0.29;11.6;5
107;7.1;0.23;0.35;16.5;0.04;60.0;171.0;0.999;3.16;0.59;9.1;6
852;6.9;0.18;0.36;1.3;0.036;40.0;117.0;0.9934;3.27;0.95;9.5;7
907;7.1;0.25;0.39;2.1;0.036;30.0;124.0;0.9908;3.28;0.43;12.2;8
2437;8.0;0.26;0.28;4.8;0.05;34.0;150.0;0.99437;3.13;0.5;10.0;6
200;6.8;0.27;0.26;16.1;0.049;55.0;196.0;0.9984;3.15;0.5;9.3;5
1504;7.0;0.17;0.74;12.8;0.045;24.0;126.0;0.9942;3.26;0.38;12.2;8
1992;7.0;0.12;0.28;6.3;0.057;17.0;103.0;0.9957;3.5;0.44;9.6;5
130;5.7;0.26;0.25;10.4;0.02;7.0;57.0;0.994;3.39;0.37;10.6;5
1222;7.6;0.28;0.39;1.2;0.038;21.0;115.0;0.994;3.16;0.67;10.0;6
19;6.5;0.31;0.14;7.5;0.044;34.0;133.0;0.9955;3.22;0.5;9.5;5
3550;7.2;0.14;0.32;1.1;0.022;48.0;116.0;0.99218;3.04;0.67;10.0;6
566;7.2;0.35;0.34;12.4;0.051;6.0;37.0;0.9944;3.13;0.39;11.5;6
2279;7.1;0.4;0.52;1.3;0.148;45.0;149.0;0.99468;3.08;0.56;8.7;5
3588;6.8;0.19;0.71;17.5;0.042;21.0;114.0;0.99784;2.85;0.5;9.5;6
4677;6.0;0.28;0.52;6.2;0.028;37.0;104.0;0.99161;3.28;0.51;11.8;7
4121;6.3;0.23;0.22;17.45;0.054;42.0;151.0;0.99853;3.12;0.6;9.3;6
2724;7.5;0.18;0.31;6.5;0.029;53.0;160.0;0.99276;3.03;0.38;10.9;6
3857;5.4;0.17;0.27;2.7;0.049;28.0;104.0;0.99224;3.46;0.55;10.3;6
480;6.7;0.47;0.34;8.9;0.043;31.0;172.0;0.9964;3.22;0.6;9.2;5
3010;6.7;0.25;0.31;1.35;0.061;30.5;218.0;0.99388;3.16;0.53;9.5;5
4209;6.6;0.23;0.32;1.7;0.024;26.0;102.0;0.99084;3.29;0.6;11.8;6
1809;8.8;0.2;0.43;15.0;0.053;60.0;184.0;1.0008;3.28;0.79;8.8;6
4734;5.5;0.16;0.31;1.2;0.026;31.0;68.0;0.9898;3.33;0.44;11.6333333333;6
834;7.3;0.205;0.31;1.7;0.06;34.0;110.0;0.9963;3.72;0.69;10.5;6
1633;7.4;0.19;0.49;6.7;0.037;15.0;110.0;0.9938;3.2;0.38;11.0;7
1876;8.0;0.19;0.3;2.0;0.053;48.0;140.0;0.994;3.18;0.49;9.6;6
2738;6.9;0.615;0.42;12.0;0.067;24.0;131.0;0.99727;3.19;0.34;9.3;5
3126;7.2;0.17;0.37;6.9;0.059;47.0;128.0;0.99322;3.08;0.46;11.0;7
2393;6.4;0.17;0.34;1.5;0.093;43.0;136.0;0.9938;3.25;0.49;9.6;6
1158;5.7;0.26;0.27;4.1;0.201;73.5;189.5;0.9942;3.27;0.38;9.4;6
4797;5.7;0.33;0.32;1.4;0.043;28.0;93.0;0.9897;3.31;0.5;12.3;6
1937;7.3;0.13;0.27;4.6;0.08;34.0;172.0;0.9938;3.23;0.39;11.1;7
3389;6.6;0.24;0.3;11.3;0.026;11.0;77.0;0.99381;3.13;0.55;12.8;7
3424;6.4;0.32;0.27;4.9;0.034;18.0;122.0;0.9916;3.36;0.71;12.5;6
2538;5.9;0.28;0.14;8.6;0.032;30.0;142.0;0.99542;3.28;0.44;9.5;6
2723;7.5;0.26;0.25;1.7;0.038;29.0;129.0;0.99312;3.45;0.56;10.4;6
1926;6.3;0.22;0.57;1.4;0.208;14.0;96.0;0.9932;3.16;0.43;10.0;6
1497;6.8;0.27;0.49;1.2;0.044;35.0;126.0;0.99;3.13;0.48;12.1;7
2213;7.4;0.17;0.29;1.4;0.047;23.0;107.0;0.9939;3.52;0.65;10.4;6
1062;6.7;0.26;0.26;4.0;0.079;35.5;216.0;0.9956;3.31;0.68;9.5;5
2602;6.4;0.22;0.34;1.4;0.023;56.0;115.0;0.98958;3.18;0.7;11.7;6
996;6.0;0.26;0.34;1.3;0.046;6.0;29.0;0.9924;3.29;0.63;10.4;5
4808;7.3;0.35;0.67;8.3;0.053;10.0;100.0;0.9959;3.19;0.5;10.9;5
3601;6.6;0.295;0.24;1.6;0.039;29.0;140.0;0.99304;3.35;0.61;10.4;7
3497;7.7;0.43;1.0;19.95;0.032;42.0;164.0;0.99742;3.29;0.5;12.0;6
4762;5.9;0.48;0.3;1.5;0.037;19.0;78.0;0.99057;3.47;0.42;11.9;7
4799;6.2;0.26;0.2;8.0;0.047;35.0;111.0;0.99445;3.11;0.42;10.4;6
1778;6.4;0.15;0.36;1.8;0.034;43.0;150.0;0.9922;3.42;0.69;11.0;8
409;8.2;0.28;0.42;1.8;0.031;30.0;93.0;0.9917;3.09;0.39;11.4;5
4853;5.2;0.25;0.23;1.4;0.047;20.0;77.0;0.99001;3.32;0.62;11.4;5
4595;7.1;0.39;0.3;9.9;0.037;29.0;124.0;0.99414;3.07;0.42;10.9;6
1024;6.8;0.34;0.74;2.8;0.088;23.0;185.0;0.9928;3.51;0.7;12.0;6
2349;7.9;0.46;0.4;10.1;0.168;19.0;184.0;0.99782;3.06;0.62;9.5;5
2995;6.6;0.28;0.34;0.8;0.037;42.0;119.0;0.9888;3.03;0.37;12.5;6
4648;6.7;0.61;0.21;1.65;0.117;40.0;240.0;0.9938;3.11;0.57;9.3;5
4465;6.6;0.26;0.56;15.4;0.053;32.0;141.0;0.9981;3.11;0.49;9.3;5
3705;7.5;0.24;0.31;13.1;0.05;26.0;180.0;0.99884;3.05;0.53;9.1;6
4709;5.9;0.21;0.31;1.8;0.033;45.0;142.0;0.98984;3.35;0.5;12.7;6
1681;6.3;0.31;0.3;10.0;0.046;49.0;212.0;0.9962;3.74;0.55;11.9;6
4245;7.6;0.35;0.47;13.3;0.037;42.0;116.0;0.99822;3.04;0.5;9.2;5
3923;8.6;0.31;0.3;0.9;0.045;16.0;109.0;0.99249;2.95;0.39;10.1;5
568;6.1;0.26;0.51;2.2;0.05;61.0;154.0;0.9929;3.08;0.6;9.8;6
1960;8.5;0.17;0.31;1.0;0.024;13.0;91.0;0.993;2.79;0.37;10.1;5
3763;6.7;0.39;0.24;2.7;0.017;22.0;80.0;0.99084;3.03;0.37;11.5;5
4647;5.8;0.26;0.29;1.0;0.042;35.0;101.0;0.99044;3.36;0.48;11.4;7
1478;7.9;0.22;0.24;4.6;0.044;39.0;159.0;0.9927;2.99;0.28;11.5;6
2814;6.7;0.19;0.39;1.0;0.032;14.0;71.0;0.98912;3.31;0.38;13.0;7
1318;6.4;0.15;0.31;1.1;0.044;25.0;96.0;0.9932;3.54;0.51;10.3;6
3269;6.6;0.38;0.36;9.2;0.061;42.0;214.0;0.9976;3.31;0.56;9.4;5
2024;8.0;0.43;0.4;12.4;0.168;29.0;190.0;0.9991;3.07;0.64;9.2;5
2413;7.1;0.21;0.28;2.7;0.034;23.0;111.0;0.99405;3.35;0.64;10.2;4
0;7.0;0.27;0.36;20.7;0.045;45.0;170.0;1.001;3.0;0.45;8.8;6
2311;7.0;0.22;0.26;2.8;0.036;44.0;132.0;0.99078;3.34;0.41;12.0;7
985;6.0;0.41;0.21;1.9;0.05;29.0;122.0;0.9928;3.42;0.52;10.5;6
2405;6.6;0.23;0.18;8.5;0.044;59.0;188.0;0.99558;3.16;0.49;9.5;5
2327;7.0;0.35;0.17;1.1;0.049;7.0;119.0;0.99297;3.13;0.36;9.7;6
3369;7.0;0.22;0.28;10.6;0.039;32.0;117.0;0.99355;3.05;0.55;11.5;7
4097;6.4;0.14;0.28;7.9;0.057;21.0;82.0;0.99425;3.26;0.36;10.0;6
4544;5.8;0.28;0.3;3.9;0.026;36.0;105.0;0.98963;3.26;0.58;12.75;6
2347;7.5;0.23;0.29;2.6;0.031;24.0;98.0;0.99194;3.0;0.54;10.9;6
4249;5.5;0.23;0.19;2.2;0.044;39.0;161.0;0.99209;3.19;0.43;10.4;6
3938;8.2;0.18;0.38;1.1;0.04;41.0;92.0;0.99062;2.88;0.6;12.0;6
1281;7.7;0.27;0.34;1.8;0.028;26.0;168.0;0.9911;2.99;0.48;12.1;7
968;6.5;0.08;0.33;1.9;0.028;23.0;93.0;0.991;3.34;0.7;12.0;7
3954;6.3;0.33;0.2;17.9;0.066;36.0;161.0;0.9991;3.14;0.51;8.8;5
1083;7.4;0.2;0.37;16.95;0.048;43.0;190.0;0.9995;3.03;0.42;9.2;6
1048;8.3;0.4;0.38;1.1;0.038;15.0;75.0;0.9934;3.03;0.43;9.2;5
4790;6.2;0.3;0.42;2.2;0.036;28.0;128.0;0.9901;3.13;0.38;11.6;6
2061;6.7;0.23;0.33;1.8;0.036;23.0;96.0;0.9925;3.32;0.4;10.8;6
2978;6.6;0.23;0.2;11.4;0.044;45.0;131.0;0.99604;2.96;0.51;9.7;6
3863;6.5;0.27;0.19;6.6;0.045;98.0;175.0;0.99364;3.16;0.34;10.1;6
3518;7.5;0.2;0.41;1.2;0.05;26.0;131.0;0.99133;3.19;0.52;11.1;5
1527;7.9;0.28;0.49;7.7;0.045;48.0;195.0;0.9954;3.04;0.55;11.0;6
3824;7.3;0.24;0.3;2.5;0.042;31.0;104.0;0.9911;3.05;0.56;11.3;7
4533;6.1;0.25;0.18;10.5;0.049;41.0;124.0;0.9963;3.14;0.35;10.5;5
3147;7.2;0.32;0.4;8.7;0.038;45.0;154.0;0.99568;3.2;0.47;10.4;6
